asset,group
HYG,bonds_credit
LQD,bonds_credit
IEF,bonds_rates
SHY,bonds_rates
TIP,bonds_rates
TLT,bonds_rates
DBA,commodities
DBC,commodities
GLD,commodities
SLV,commodities
ABNB,consumer_discretionary
ACTG,consumer_discretionary
AIOT,consumer_discretionary
AMPG,consumer_discretionary
AMZN,consumer_discretionary
APPS,consumer_discretionary
ARES,consumer_discretionary
ASTS,consumer_discretionary
AXON,consumer_discretionary
BAM,consumer_discretionary
BKNG,consumer_discretionary
BKR,consumer_discretionary
BWEN,consumer_discretionary
BX,consumer_discretionary
CABO,consumer_discretionary
CELH,consumer_discretionary
CHTR,consumer_discretionary
CMG,consumer_discretionary
CPNG,consumer_discretionary
CPRT,consumer_discretionary
CTLP,consumer_discretionary
CVNA,consumer_discretionary
CXDO,consumer_discretionary
DHI,consumer_discretionary
EBAY,consumer_discretionary
EL,consumer_discretionary
EXAS,consumer_discretionary
EXPE,consumer_discretionary
EXTR,consumer_discretionary
FRPT,consumer_discretionary
HD,consumer_discretionary
ILMN,consumer_discretionary
INSG,consumer_discretionary
INSM,consumer_discretionary
IRDM,consumer_discretionary
JYNT,consumer_discretionary
KKR,consumer_discretionary
KVUE,consumer_discretionary
LBRDA,consumer_discretionary
LBRDK,consumer_discretionary
LOW,consumer_discretionary
LTRX,consumer_discretionary
NKE,consumer_discretionary
NTRA,consumer_discretionary
ONON,consumer_discretionary
PAR,consumer_discretionary
PLUG,consumer_discretionary
QSR,consumer_discretionary
REFR,consumer_discretionary
ROL,consumer_discretionary
RUN,consumer_discretionary
SAM,consumer_discretionary
SBUX,consumer_discretionary
SPOT,consumer_discretionary
TBCH,consumer_discretionary
TGT,consumer_discretionary
TREX,consumer_discretionary
TRI,consumer_discretionary
TSCO,consumer_discretionary
TSLA,consumer_discretionary
ULTA,consumer_discretionary
VIK,consumer_discretionary
WBD,consumer_discretionary
WMT,consumer_discretionary
XLY,consumer_discretionary
YUM,consumer_discretionary
ACI,consumer_staples
ARLO,consumer_staples
AVO,consumer_staples
BRBR,consumer_staples
BUD,consumer_staples
CAG,consumer_staples
CALM,consumer_staples
CCEP,consumer_staples
CL,consumer_staples
COCO,consumer_staples
COKE,consumer_staples
COST,consumer_staples
CPB,consumer_staples
CTVA,consumer_staples
DEO,consumer_staples
DG,consumer_staples
FDP,consumer_staples
FIZZ,consumer_staples
FLO,consumer_staples
FMX,consumer_staples
GIS,consumer_staples
GO,consumer_staples
GRDN,consumer_staples
HRL,consumer_staples
HSY,consumer_staples
IMKTA,consumer_staples
KDP,consumer_staples
KHC,consumer_staples
KMB,consumer_staples
KO,consumer_staples
KR,consumer_staples
LW,consumer_staples
MDLZ,consumer_staples
MKC,consumer_staples
MNST,consumer_staples
MO,consumer_staples
MZTI,consumer_staples
PEP,consumer_staples
PG,consumer_staples
PM,consumer_staples
POST,consumer_staples
RSG,consumer_staples
SFD,consumer_staples
SFM,consumer_staples
SJM,consumer_staples
SMPL,consumer_staples
SONO,consumer_staples
STZ,consumer_staples
TAP,consumer_staples
TBBB,consumer_staples
TR,consumer_staples
UTZ,consumer_staples
VITL,consumer_staples
VZ,consumer_staples
WMK,consumer_staples
XLP,consumer_staples
BTC-USD,crypto
ETH-USD,crypto
AMR,energy
APA,energy
AR,energy
ARLP,energy
BE,energy
BKV,energy
BP,energy
BSM,energy
BTU,energy
CHRD,energy
CLMT,energy
CNQ,energy
CNR,energy
CNX,energy
COP,energy
CQP,energy
CRC,energy
CRGY,energy
CRK,energy
CTRA,energy
CVI,energy
CVX,energy
DINO,energy
DVN,energy
E,energy
ENB,energy
EOG,energy
EPD,energy
EQNR,energy
EQT,energy
ET,energy
EXE,energy
FANG,energy
GPOR,energy
HAL,energy
HCC,energy
HESM,energy
HP,energy
IMO,energy
KMI,energy
LBRT,energy
LNG,energy
LXU,energy
MGY,energy
MPC,energy
MPLX,energy
MTDR,energy
MUR,energy
NE,energy
NOG,energy
OII,energy
OKE,energy
OXY,energy
PAA,energy
PBF,energy
PBR,energy
