as_of_date,scenario_id,alias,capital_brl,market_state,ticket_id,ticker,side,notional_brl,reason
2025-01-14,apollo_1000,Apollo,1000.0,balanced,8947214f-5acd-49a9-b2bb-fb907a29fa1b,BTC-USD,sell,70.55040205353836,historical_apollo_balanced
2025-02-07,apollo_1000,Apollo,1000.0,defense,e6697d2c-412b-494c-a925-98a78f9aca00,BTC-USD,sell,176.99319817306943,historical_apollo_defense
2025-02-07,apollo_1000,Apollo,1000.0,defense,667e5f83-de08-48da-9f92-82219b8b0c78,PETR4.SA,sell,129.5856275124001,historical_apollo_defense
2025-02-12,apollo_1000,Apollo,1000.0,balanced,e2eabae5-3d93-4b67-a15e-b56f6a2fe49e,BTC-USD,buy,176.82652601470588,historical_apollo_balanced
2025-02-12,apollo_1000,Apollo,1000.0,balanced,53568de7-5172-48ff-8367-4a9e9ccfe15d,PETR4.SA,buy,126.30466143907562,historical_apollo_balanced
2025-02-27,apollo_1000,Apollo,1000.0,defense,0640c584-1995-4c1d-a1f7-1f8110349c33,BTC-USD,sell,153.04715904271364,historical_apollo_defense
2025-02-27,apollo_1000,Apollo,1000.0,defense,f7ce341e-64b3-47c6-bdb6-01ae8af4089e,PETR4.SA,sell,130.1454824463863,historical_apollo_defense
2025-03-11,apollo_1000,Apollo,1000.0,balanced,79225708-52ff-4ab7-808f-b5c096deca1d,BTC-USD,buy,173.8658192596644,historical_apollo_balanced
2025-03-11,apollo_1000,Apollo,1000.0,balanced,33f352d4-2b8e-4fd4-ab88-dea43d4ce1ce,PETR4.SA,buy,124.18987089976027,historical_apollo_balanced
2025-03-14,apollo_1000,Apollo,1000.0,defense,eb066fa1-e8fd-4afa-8063-0701b39e2ef9,BTC-USD,sell,176.06754407441775,historical_apollo_defense
2025-03-14,apollo_1000,Apollo,1000.0,defense,e0174887-4fe0-431b-808b-6de973ac70de,PETR4.SA,sell,123.54440488374865,historical_apollo_defense
